ean,coicop_subclase
7798062548679,01.2.2
7798062548709,01.2.2
7798062548648,01.2.2
7798062548686,01.2.2
7790895000720,01.2.2
7790580607210,01.1.8
7790895640025,01.2.2
7790895000232,01.2.2
7790895641183,01.2.2
7790895000737,01.2.2
7790895007217,01.2.2
7790895640483,01.2.2
7790895647017,01.2.2
7790895640490,01.2.2
7790387015324,01.2.1
7790895641237,01.2.2
7790895001000,01.2.2
7791813420385,01.2.2
7790895640476,01.2.2
7790895000997,01.2.2
7798062548716,01.2.2
7790895648427,01.2.2
7790580602000,01.1.8
7798062540260,01.2.2
7798062548655,01.2.2
7791813421382,01.2.2
7790895640018,01.2.2
7790580346515,01.1.8
7791337007253,01.1.4
7790380258018,01.1.8
7791813434412,01.2.2
7790580327415,01.1.8
7790315100184,01.2.2
90435225,01.2.2
7798422620014,01.2.2
7798422620021,01.2.2
7798422620045,01.2.2
7790895000270,01.2.2
7790070418203,01.1.4
7790040613706,01.1.4
7798085681452,01.2.2
7790580103385,01.1.8
7790895649301,01.2.2
7790580105013,01.1.6
7790895006715,01.2.2
7791813444411,01.2.2
77953124,01.1.6
7792360072447,01.1.1
7795323775348,01.1.4
78600010,01.1.8
78909434,01.1.8
7795323775331,01.1.4
7795323775324,01.1.4
7790895007248,01.2.2
7791813434368,01.2.2
7622210745620,01.1.6
7622300457303,01.1.8
7790895648441,01.2.2
7790580119126,01.1.8
7798147780062,01.1.6
7798147783223,01.1.6
7891000379073,01.1.1
7797453001458,01.1.6
7790070433169,01.1.1
7790070760623,02.1
7794000005822,01.1.9
7794000006911,01.1.9
7790070336149,01.1.1
7790580132163,01.1.8
7793360131516,01.1.8
7794000006072,01.1.9
7790045000624,01.1.1
7790070336026,01.1.1
7790070336057,01.1.1
7790070336576,01.1.1
7790070433176,01.1.1
7790272001029,01.1.5
7790290101602,02.1
7790742067005,01.1.4
7790742625304,01.1.4
7791337008472,01.1.4
7791866000381,01.1.9
7791866001364,01.1.9
7792410523165,02.1
7793147571689,02.1
7793360131400,01.1.8
7793360131547,01.1.6
7794000004924,01.1.9
7794000006188,01.1.9
7794000006478,01.1.9
7794000006485,01.1.9
7794000007987,01.1.9
7794000008557,01.1.9
8445290702234,01.1.4
7790060023684,01.1.5
7790070336552,01.1.1
7790290101459,02.1
7790580132187,01.1.8
7790742335609,01.1.4
7790742625205,01.1.4
7790895010095,01.2.2
7790950000160,02.1
7791866000480,01.1.9
7791866004211,01.1.9
7622201736033,01.1.1
7622201761288,01.1.8
7790040133488,01.1.6
7790070336217,01.1.1
7790070336309,01.1.1
7790742102805,01.1.4
7790742625106,01.1.4
7790950141610,01.1.6
7791337007666,01.1.1
7791337008489,01.1.4
7791813777021,01.2.2
7792180001665,01.1.5
7792180134516,01.1.1
7792798003709,02.1
7792798003716,02.1
7792798007493,02.1
7793147118860,02.1
7794000005884,01.1.6
7794000006065,01.1.9
7794000008052,01.1.9
7798338291049,01.1.4
7622201735685,01.2.2
7790045001584,01.1.1
7790070320285,01.1.1
7790070336118,01.1.1
7790070336293,01.1.1
7790070336316,01.1.1
7790070336361,01.1.1
7790070336545,01.1.1
7790150540183,01.1.9
7790742192103,01.1.4
7790742333605,01.1.4
7790742335401,01.1.4
7790742358608,01.1.4
7791337008106,01.1.4
7791540053351,02.1
7793147009199,02.1
7793890258752,01.1.1
7622201745905,01.1.1
7790070336385,01.1.1
7790072001014,01.1.9
7790072002080,01.1.9
7790150355084,01.1.9
7790895643866,01.1.7
7792798014873,02.1
7793147573386,02.1
7793360131561,01.1.6
7793890258783,01.1.1
7793890258998,01.1.1
8445290993045,01.1.4
7702103751416,01.1.1
7790639003444,01.2.2
7790639003857,01.2.2
7791120098888,01.1.1
7791337060944,01.1.9
7791866000510,01.1.9
7793890259025,01.1.1
7798108834155,02.1
7790272001005,01.1.5
7790398100088,01.1.5
7790670052371,01.1.7
7790742192202,01.1.4
7791004000099,01.1.9
7792798007387,02.1
7793890258769,01.1.1
7793940052002,01.1.5
7794000007109,01.1.9
7798146139045,01.1.9
7798353194653,02.1
7790070622044,01.1.1
7790174001349,01.1.2
7790240041880,02.1
7790290001179,02.1
7793147570866,02.1
7794000007093,01.1.9
7791337007819,01.1.4
7792170110704,01.2.2
7792180004741,01.1.1
7793147001025,02.1
7793360131424,01.1.6
7891000337271,01.1.1
7790639003826,01.2.2
7790639003833,01.2.2
7790742335500,01.1.4
7791337008458,01.1.4
7791866001203,01.1.9
7792798010561,02.1
7793890259070,01.1.1
7794000007741,01.1.9
7790580132170,01.1.6
7790742363008,01.1.4
7791728248265,02.1
7793940054006,01.1.5
7790272008394,01.1.5
7790742192301,01.1.4
7790742352002,01.1.4
7791337008663,01.1.4
7792170110575,01.2.2
7794000006164,01.1.9
7790070622037,01.1.1
7790742363107,01.1.4
7798119220381,01.2.2
8445290993021,01.1.4
7790236018353,01.1.1
7791337007802,01.1.4
7794000008540,01.1.9
7790742363206,01.1.4
7792170110568,01.2.2
7790742436207,01.1.4
7791337008656,01.1.4
